no,tingkat_pendidikan,Usia,nama_prodi,Pengalaman Kerja,Sertifikat,disabilitas,status_pernikahan,jumlah_anak
292,Diploma III,44,Teknik Industri,tidak ada,tidak ada,f,Menikah,2
293,Strata I (S1),28,PSKGJ Pendidikan Pancasila dan Kewarganegaraan,"{""Lain - Lain""}",tidak ada,f,Menikah,2
294,SMK / MAK / Sederajat,47,Keperawatan,tidak ada,tidak ada,f,Menikah,2
295,SMK / MAK / Sederajat,29,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
296,Strata I (S1),27,Manajemen,{Akunting},tidak ada,f,Belum menikah,0
297,SMK / MAK / Sederajat,36,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,1
298,SLTA / MA / Sederajat,29,IPA,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
299,Strata I (S1),39,Teknik Informatika,"{""Lain - Lain""}",tidak ada,f,Menikah,1
300,Strata I (S1),28,Teknik Informatika,tidak ada,tidak ada,f,Belum menikah,0
301,Diploma III,30,Manajemen Informatika,"{""Information Technology (IT)""}",ada,f,Menikah,0
302,Strata I (S1),28,Teknik Perkapalan,tidak ada,tidak ada,f,Belum menikah,0
303,SMK / MAK / Sederajat,19,Teknik Listrik Industri,tidak ada,tidak ada,f,Belum menikah,0
304,SLTA / MA / Sederajat,21,IPA,tidak ada,tidak ada,f,Belum menikah,0
305,SMK / MAK / Sederajat,23,Teknik Elektro,tidak ada,tidak ada,f,Belum menikah,0
306,Strata I (S1),26,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
307,Strata I (S1),24,"Pendidikan Seni Drama, Tari dan Musik",tidak ada,tidak ada,f,Belum menikah,0
308,Diploma I,20,Teknik Listrik Industri,tidak ada,ada,f,Belum menikah,0
309,Diploma IV,25,Teknik Elektronika,tidak ada,tidak ada,f,Belum menikah,0
310,SMK / MAK / Sederajat,32,Teknik Otomotif,"{""TENAGA TATA USAHA""}",tidak ada,f,Menikah,1
311,Strata I (S1),38,Manajemen,tidak ada,tidak ada,f,Menikah,2
312,SMK / MAK / Sederajat,19,Perbankan Syariah,tidak ada,ada,f,Belum menikah,0
313,SLTA / MA / Sederajat,25,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,1
314,Diploma III,31,Manajemen Perhotelan,{Akunting},ada,f,Belum menikah,0
315,Strata I (S1),25,Sosiologi,tidak ada,ada,f,Belum menikah,0
316,Strata I (S1),24,Kimia,tidak ada,tidak ada,f,Belum menikah,0
317,Strata I (S1),29,Teknik Mesin,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
318,Strata I (S1),23,Manajemen,tidak ada,tidak ada,t,Belum menikah,0
319,SLTA / MA / Sederajat,21,IPA,tidak ada,tidak ada,f,Belum menikah,0
320,Strata I (S1),30,Pendidikan Islam,tidak ada,tidak ada,f,Belum menikah,0
321,SMK / MAK / Sederajat,25,Listrik,tidak ada,tidak ada,t,Belum menikah,0
322,SMK / MAK / Sederajat,28,Administrasi Perkantoran,tidak ada,tidak ada,f,Menikah,1
323,SLTA / MA / Sederajat,31,IPS,tidak ada,tidak ada,f,Menikah,1
324,SMK / MAK / Sederajat,49,Listrik,tidak ada,tidak ada,t,Menikah,0
325,Diploma III,26,Ilmu Administrasi Negara,tidak ada,tidak ada,f,Belum menikah,0
326,SMK / MAK / Sederajat,26,Administrasi,{Akunting},tidak ada,f,Belum menikah,0
327,Strata I (S1),27,Ekonomi Pembangunan,tidak ada,ada,f,Belum menikah,0
328,Strata I (S1),30,Akuntansi,"{""Lain - Lain""}",tidak ada,f,Menikah,1
329,Diploma III,28,Ilmu Teknik Sipil,tidak ada,tidak ada,f,Belum menikah,0
330,Strata I (S1),28,Teknik Industri,tidak ada,tidak ada,f,Belum menikah,0
331,Strata I (S1),32,Teknik Informatika,tidak ada,tidak ada,f,Menikah,0
332,SLTA / MA / Sederajat,19,IPA,tidak ada,tidak ada,f,Belum menikah,0
333,Strata I (S1),27,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
334,SLTA / MA / Sederajat,23,IPS,tidak ada,tidak ada,f,Belum menikah,0
335,Strata I (S1),37,Manajemen,tidak ada,tidak ada,f,Menikah,1
336,SMK / MAK / Sederajat,31,Teknik Informatika,{Teknik},tidak ada,f,Menikah,0
337,SMK / MAK / Sederajat,26,Listrik,tidak ada,tidak ada,f,Belum menikah,0
338,SLTA / MA / Sederajat,31,IPS,"{""Lain - Lain""}",tidak ada,f,Menikah,1
339,SMK / MAK / Sederajat,30,Teknik Komputer,"{""Lain - Lain""}",ada,f,Menikah,1
340,SMK / MAK / Sederajat,22,Teknik Listrik Industri,"{""TEKNISI DAN ASISTEN TENAGA PROFESIONAL""}",tidak ada,f,Belum menikah,0
341,Strata I (S1),38,Sistem Informasi,tidak ada,tidak ada,f,Menikah,0
342,Strata I (S1),30,Ilmu Kesehatan Masyarakat,tidak ada,tidak ada,f,Menikah,1
343,Strata I (S1),28,Manajemen,{Marketing},tidak ada,f,Belum menikah,0
344,Strata I (S1),37,Teknik Kimia,tidak ada,tidak ada,f,Menikah,1
345,Diploma III,27,Manajemen,"{""PEKERJA KASAR, TENAGA KEBERSIHAN, DAN TENAGA YANG BERHUBUNGAN DENGAN ITU""}",tidak ada,f,Menikah,1
346,Diploma III,38,Ilmu Administrasi Negara,tidak ada,tidak ada,f,Menikah,2
347,Strata I (S1),44,Ilmu Sejarah,tidak ada,tidak ada,f,Menikah,1
348,SMK / MAK / Sederajat,21,Patiseri,tidak ada,tidak ada,f,Belum menikah,0
349,Diploma III,26,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
350,SMK / MAK / Sederajat,25,Teknik Komputer,{Kesehatan},tidak ada,f,Belum menikah,0
351,SMK / MAK / Sederajat,40,Teknik Elektro,tidak ada,tidak ada,f,Menikah,0
352,Strata I (S1),40,Teknik Elektro,"{""Lain - Lain""}",tidak ada,f,Menikah,1
353,SLTA / MA / Sederajat,25,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
354,SMK / MAK / Sederajat,21,Teknik Otomotif,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Belum menikah,0
355,Strata I (S1),31,Agribisnis,tidak ada,tidak ada,f,Menikah,1
356,SMK / MAK / Sederajat,20,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
357,Strata I (S1),26,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
358,SMK / MAK / Sederajat,23,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
359,Strata I (S1),28,Fisioterapi,tidak ada,tidak ada,f,Menikah,0
360,SMK / MAK / Sederajat,23,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
361,SMK / MAK / Sederajat,20,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
362,SMK / MAK / Sederajat,24,Nautika,tidak ada,tidak ada,f,Menikah,0
363,SLTA / MA / Sederajat,29,Pendidikan Islam,tidak ada,tidak ada,f,Menikah,2
364,SMK / MAK / Sederajat,35,Teknik Mesin,tidak ada,tidak ada,f,Menikah,3
365,SMK / MAK / Sederajat,22,Administrasi,"{""PEKERJA KASAR, TENAGA KEBERSIHAN, DAN TENAGA YANG BERHUBUNGAN DENGAN ITU""}",tidak ada,f,Belum menikah,0
366,Strata I (S1),27,PSKGJ Pendidikan Matematika,tidak ada,tidak ada,f,Belum menikah,0
367,SMK / MAK / Sederajat,27,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
368,SMK / MAK / Sederajat,35,Teknik Otomotif,"{""OPERATOR DAN PERAKIT MESIN""}",tidak ada,f,Menikah,0
369,SMK / MAK / Sederajat,23,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
370,SMK / MAK / Sederajat,31,Komputerisasi Akuntansi,tidak ada,tidak ada,f,Menikah,0
371,SMK / MAK / Sederajat,21,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
372,SMK / MAK / Sederajat,33,Akuntansi,tidak ada,tidak ada,t,Belum menikah,0
373,SLTA / MA / Sederajat,23,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
374,Strata I (S1),27,Teknik Elektro,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Belum menikah,0
375,SMK / MAK / Sederajat,27,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
376,Strata I (S1),27,Teknik Informatika,tidak ada,tidak ada,t,Belum menikah,0
377,SMK / MAK / Sederajat,22,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
378,SMK / MAK / Sederajat,19,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
379,SMK / MAK / Sederajat,21,Administrasi Perkantoran,tidak ada,tidak ada,f,Belum menikah,0
380,Strata I (S1),32,Teknik Industri,tidak ada,tidak ada,f,Menikah,1
381,SMK / MAK / Sederajat,25,Teknik Elektro,tidak ada,tidak ada,f,Belum menikah,0
382,SMK / MAK / Sederajat,26,Listrik,tidak ada,tidak ada,f,Belum menikah,0
383,SMK / MAK / Sederajat,25,Akuntansi,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
384,SLTA / MA / Sederajat,22,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
385,Strata I (S1),24,Ilmu Ekonomi,tidak ada,tidak ada,f,Belum menikah,0
386,SMK / MAK / Sederajat,29,Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,{Marketing},tidak ada,f,Menikah,1
387,Strata I (S1),32,Akuntansi,tidak ada,tidak ada,f,Menikah,0
388,SLTA / MA / Sederajat,28,IPS,tidak ada,tidak ada,f,Menikah,1
389,SMK / MAK / Sederajat,25,Teknik Elektronika,tidak ada,tidak ada,f,Belum menikah,0
390,SMK / MAK / Sederajat,19,Administrasi Perkantoran,tidak ada,tidak ada,f,Belum menikah,0
391,Strata I (S1),23,Ilmu Komunikasi,tidak ada,tidak ada,f,Belum menikah,0
392,SMK / MAK / Sederajat,36,Teknik Mesin,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Menikah,1
393,Strata I (S1),38,Ilmu Hukum,tidak ada,tidak ada,t,Menikah,1
394,SMK / MAK / Sederajat,30,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
395,SMK / MAK / Sederajat,34,Manajemen,"{""PEKERJA KASAR, TENAGA KEBERSIHAN, DAN TENAGA YANG BERHUBUNGAN DENGAN ITU""}",tidak ada,f,Menikah,2
396,SLTA / MA / Sederajat,20,IPA,tidak ada,tidak ada,f,Belum menikah,0
397,SLTA / MA / Sederajat,23,IPS,tidak ada,tidak ada,f,Belum menikah,0
398,SMK / MAK / Sederajat,20,Manajemen Pemasaran,tidak ada,tidak ada,f,Belum menikah,0
399,Strata I (S1),29,Teknik Industri,tidak ada,tidak ada,f,Belum menikah,0
400,Strata I (S1),29,Manajemen,"{""Lain - Lain""}",tidak ada,f,Menikah,0
401,SMK / MAK / Sederajat,25,Akuntansi,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",ada,f,Belum menikah,0
402,Strata I (S1),35,Biologi,tidak ada,tidak ada,f,Menikah,2
403,Diploma II,21,Administrasi Perkantoran,"{""Lain - Lain""}",ada,f,Belum menikah,0
404,SLTA / MA / Sederajat,36,IPA,tidak ada,tidak ada,f,Belum menikah,0
405,Strata I (S1),24,Manajemen,{Marketing},ada,f,Belum menikah,0
406,Diploma IV,33,Akuntansi,tidak ada,tidak ada,f,Menikah,1
407,SMK / MAK / Sederajat,20,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
408,SLTA / MA / Sederajat,26,IPS,tidak ada,tidak ada,f,Belum menikah,0
409,SLTA / MA / Sederajat,41,Manajemen Pemasaran,"{""OPERATOR DAN PERAKIT MESIN""}",tidak ada,f,Menikah,2
410,SMK / MAK / Sederajat,23,Teknik Elektronika,"{""OPERATOR DAN PERAKIT MESIN""}",ada,f,Belum menikah,0
411,Strata II (Magister/S2),27,Manajemen,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
412,Strata I (S1),30,PSKGJ Pendidikan Kesejahteraan Keluarga,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,0
413,Strata I (S1),29,Teknik Informatika,tidak ada,tidak ada,f,Menikah,1
414,SLTA / MA / Sederajat,40,IPS,tidak ada,tidak ada,f,Menikah,2
415,SLTA / MA / Sederajat,32,Biologi,tidak ada,tidak ada,f,Belum menikah,0
416,Strata I (S1),23,Teknik Informatika,tidak ada,ada,f,Belum menikah,0
417,Strata I (S1),29,Pendidikan Islam,tidak ada,tidak ada,f,Menikah,0
418,SMK / MAK / Sederajat,29,Teknik Komputer,tidak ada,tidak ada,f,Menikah,1
419,SLTA / MA / Sederajat,22,IPA,tidak ada,tidak ada,f,Belum menikah,0
420,SLTA / MA / Sederajat,22,IPA,tidak ada,tidak ada,f,Belum menikah,0
421,Strata I (S1),31,Ilmu Hukum,tidak ada,tidak ada,t,Menikah,0
422,SMK / MAK / Sederajat,32,IPA,"{""Lain - Lain""}",tidak ada,f,Menikah,2
423,Strata I (S1),23,Sistem Komputer,"{""Lain - Lain""}",ada,f,Belum menikah,0
424,Strata I (S1),23,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
425,Strata I (S1),31,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
426,Strata I (S1),22,Pendidikan Biologi,tidak ada,tidak ada,f,Belum menikah,0
427,SMK / MAK / Sederajat,36,Teknik Informatika,tidak ada,tidak ada,f,Menikah,0
428,Diploma III,26,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
429,Diploma II,29,Manajemen,tidak ada,tidak ada,f,Menikah,1
430,Strata I (S1),26,Manajemen,{Marketing},ada,f,Belum menikah,0
431,SMK / MAK / Sederajat,26,Teknik Komputer,"{""Lain - Lain""}",ada,f,Belum menikah,0
432,Diploma III,23,Teknik Elektronika,tidak ada,ada,f,Belum menikah,0
433,SMK / MAK / Sederajat,27,Teknika,tidak ada,tidak ada,f,Belum menikah,0
434,SMK / MAK / Sederajat,23,Akuntansi,"{""Lain - Lain""}",ada,f,Belum menikah,0
435,Diploma III,40,Kesekretariatan,tidak ada,ada,t,Menikah,2
436,Strata I (S1),32,PSKGJ Pendidikan Bahasa Inggris,{Pendidikan},ada,f,Menikah,2
437,Strata I (S1),29,Perikanan,"{""Lain - Lain""}",ada,f,Belum menikah,0
438,Strata I (S1),55,Manajemen,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,0
439,Strata I (S1),32,Manajemen,tidak ada,tidak ada,f,Menikah,0
440,SLTA / MA / Sederajat,32,Seni Musik,tidak ada,tidak ada,f,Menikah,1
441,Strata I (S1),29,Ekonomi Pembangunan,tidak ada,tidak ada,f,Belum menikah,0
442,SMK / MAK / Sederajat,29,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
443,Strata I (S1),38,Manajemen,{Marketing},tidak ada,f,Menikah,1
444,SMK / MAK / Sederajat,19,Komputer Multimedia,tidak ada,tidak ada,f,Belum menikah,0
445,Strata I (S1),32,Akuntansi,"{""TENAGA TATA USAHA""}",tidak ada,f,Menikah,0
446,Strata I (S1),34,Pendidikan Kepelatihan Olahraga,{Marketing},tidak ada,f,Menikah,0
447,Diploma III,36,Manajemen Perpajakan,"{""Lain - Lain""}",ada,f,Menikah,0
448,Diploma III,29,Analis Kesehatan,{Kesehatan},ada,f,Belum menikah,0
449,SMK / MAK / Sederajat,22,IPS,tidak ada,ada,f,Belum menikah,0
450,Strata I (S1),29,Pendidikan Fisika,{Pendidikan},tidak ada,f,Belum menikah,0
451,SLTA / MA / Sederajat,21,IPS,tidak ada,tidak ada,f,Belum menikah,0
452,Strata I (S1),26,Teknologi Pangan,tidak ada,tidak ada,f,Belum menikah,0
453,Strata I (S1),24,Ilmu Hukum,tidak ada,ada,f,Belum menikah,0
454,Diploma I,23,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
455,SMK / MAK / Sederajat,24,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
456,Strata I (S1),30,Hubungan Internasional,tidak ada,tidak ada,f,Belum menikah,0
457,Strata I (S1),32,Arsitektur,"{""Lain - Lain""}",tidak ada,f,Menikah,0
458,Strata I (S1),26,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
459,Strata I (S1),26,Manajemen,{Akunting},ada,f,Belum menikah,0
460,SLTA / MA / Sederajat,29,IPA,"{""Lain - Lain""}",tidak ada,f,Menikah,1
461,Strata II (Magister/S2),32,Perencanaan Wilayah Dan Kota,"{""Lain - Lain""}",tidak ada,f,Menikah,1
462,SMK / MAK / Sederajat,44,Komputer Grafis dan Cetak,tidak ada,tidak ada,f,Menikah,0
463,Strata I (S1),26,Teknik Sipil,tidak ada,tidak ada,f,Belum menikah,0
464,SLTA / MA / Sederajat,32,IPS,tidak ada,tidak ada,f,Belum menikah,0
465,Strata I (S1),26,Ilmu Komunikasi,tidak ada,tidak ada,f,Belum menikah,0
466,Strata I (S1),28,Psikologi,tidak ada,tidak ada,f,Belum menikah,0
467,Diploma IV,27,Kebidanan,tidak ada,ada,f,Belum menikah,0
468,SMK / MAK / Sederajat,19,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
469,SMK / MAK / Sederajat,28,Teknik Telekomunikasi,tidak ada,tidak ada,f,Menikah,0
470,Strata II (Magister/S2),36,Teknik Informatika,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Menikah,3
471,Strata I (S1),30,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
472,SMK / MAK / Sederajat,34,Tata Busana,"{""Lain - Lain""}",tidak ada,f,Menikah,0
473,Strata I (S1),25,Ilmu Komunikasi,tidak ada,tidak ada,f,Belum menikah,0
474,Strata I (S1),23,Ilmu Hukum,"{""Lain - Lain""}",ada,f,Belum menikah,0
475,Diploma III,26,Teknik Mesin,"{""PEKERJA KASAR, TENAGA KEBERSIHAN, DAN TENAGA YANG BERHUBUNGAN DENGAN ITU""}",tidak ada,f,Belum menikah,0
476,Strata I (S1),37,Pendidikan Kimia,tidak ada,tidak ada,f,Menikah,1
477,Strata I (S1),33,Sastra Inggris,tidak ada,tidak ada,f,Menikah,1
478,Strata I (S1),25,Manajemen,"{""Lain - Lain""}",ada,f,Belum menikah,0
479,Strata I (S1),38,Teknik Industri,tidak ada,tidak ada,f,Menikah,1
480,SMK / MAK / Sederajat,29,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,1
481,SMK / MAK / Sederajat,37,Akuntansi,tidak ada,tidak ada,f,Menikah,2
482,Strata I (S1),28,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
483,SLTA / MA / Sederajat,31,IPS,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
484,SMK / MAK / Sederajat,24,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
485,SMK / MAK / Sederajat,35,Manajemen Perhotelan,tidak ada,tidak ada,f,Menikah,2
486,Diploma III,28,Teknik Mesin,"{""OPERATOR DAN PERAKIT MESIN""}",tidak ada,f,Menikah,1
487,SLTA / MA / Sederajat,31,Ilmu Teknik Sipil,tidak ada,tidak ada,f,Belum menikah,0
488,SMK / MAK / Sederajat,30,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,2
489,Strata I (S1),28,Manajemen,{Akunting},tidak ada,f,Menikah,0
490,SLTA / MA / Sederajat,33,IPS,"{""TENAGA PROFESIONAL""}",tidak ada,f,Belum menikah,0
491,Diploma III,31,Manajemen Informatika,"{""PEJABAT LEMBAGA LEGISLATIF, PEJABAT TINGGI, DAN MANAJER""}",tidak ada,f,Menikah,1
492,SMK / MAK / Sederajat,33,Teknik Otomotif,tidak ada,tidak ada,t,Menikah,1
493,SLTA / MA / Sederajat,27,IPS,tidak ada,tidak ada,f,Belum menikah,0
494,Strata I (S1),29,Bahasa dan Sastra Indonesia,{Pendidikan},tidak ada,f,Janda,1
495,SMK / MAK / Sederajat,25,Komputer Multimedia,tidak ada,tidak ada,f,Belum menikah,0
496,SMK / MAK / Sederajat,36,Administrasi,"{""TENAGA PROFESIONAL""}",tidak ada,f,Menikah,2
497,SMK / MAK / Sederajat,28,Desain Grafis,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Menikah,0
498,SLTA / MA / Sederajat,22,IPA,tidak ada,tidak ada,f,Belum menikah,0
499,SLTA / MA / Sederajat,19,Kewirausahaan,tidak ada,tidak ada,f,Belum menikah,0
500,Diploma III,26,Analis Kesehatan,tidak ada,ada,f,Belum menikah,0
501,SLTA / MA / Sederajat,23,IPS,tidak ada,tidak ada,f,Belum menikah,0
502,SMK / MAK / Sederajat,26,Perhotelan,tidak ada,tidak ada,f,Belum menikah,0
503,SMK / MAK / Sederajat,26,Manajemen Pemasaran,tidak ada,tidak ada,t,Belum menikah,0
504,Strata I (S1),30,Ilmu Komunikasi,tidak ada,tidak ada,f,Menikah,1
505,Strata I (S1),22,Ilmu Hukum,tidak ada,ada,f,Belum menikah,0
506,SMK / MAK / Sederajat,27,Teknik Kendaraan Ringan,tidak ada,tidak ada,f,Belum menikah,0
507,SLTA / MA / Sederajat,27,IPS,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Belum menikah,0
508,Strata I (S1),27,Ilmu Administrasi Negara,tidak ada,tidak ada,f,Belum menikah,0
509,Diploma III,27,Teknik Kimia,tidak ada,tidak ada,f,Belum menikah,0
510,Strata I (S1),28,Teknik Industri,tidak ada,tidak ada,f,Belum menikah,0
511,Strata I (S1),32,Teknik Komputer,"{""Information Technology (IT)""}",tidak ada,f,Menikah,0
512,SMK / MAK / Sederajat,21,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
513,SMK / MAK / Sederajat,20,Komputer Multimedia,tidak ada,tidak ada,f,Belum menikah,0
514,Strata I (S1),34,Akuntansi,tidak ada,tidak ada,f,Menikah,0
515,Strata I (S1),25,Teknik Kimia,tidak ada,ada,f,Belum menikah,0
516,SLTA / MA / Sederajat,22,IPS,tidak ada,tidak ada,f,Belum menikah,0
517,SMK / MAK / Sederajat,20,Administrasi Perkantoran,"{""TENAGA PENGOLAHAN DAN KERAJINAN YANG BERHUBUNGAN DENGAN ITU""}",ada,f,Belum menikah,0
518,Strata I (S1),41,Teknik Perkapalan,tidak ada,tidak ada,f,Menikah,1
519,SMK / MAK / Sederajat,27,Teknik Mesin,"{""OPERATOR DAN PERAKIT MESIN""}",ada,f,Belum menikah,0
520,Diploma III,23,Akuntansi,tidak ada,ada,f,Belum menikah,0
521,Strata I (S1),24,Ilmu Administrasi Publik,tidak ada,tidak ada,f,Belum menikah,0
522,Strata I (S1),25,Sosiologi,tidak ada,tidak ada,f,Belum menikah,0
523,Strata I (S1),24,Agroteknologi,tidak ada,tidak ada,f,Belum menikah,0
524,SMK / MAK / Sederajat,32,Teknik Komputer,tidak ada,tidak ada,f,Menikah,2
525,SLTA / MA / Sederajat,32,IPA,tidak ada,tidak ada,f,Menikah,3
526,SMK / MAK / Sederajat,27,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
527,Strata II (Magister/S2),30,Seni Teater,tidak ada,tidak ada,f,Menikah,0
528,SMK / MAK / Sederajat,31,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,1
529,SMK / MAK / Sederajat,20,Administrasi,tidak ada,tidak ada,t,Belum menikah,0
530,Strata I (S1),24,Fisika,tidak ada,tidak ada,f,Belum menikah,0
531,SLTA / MA / Sederajat,31,IPS,"{""TENAGA PROFESIONAL""}",tidak ada,f,Belum menikah,0
532,Strata I (S1),39,Akuntansi,tidak ada,tidak ada,f,Menikah,2
533,Strata I (S1),27,Ilmu Komunikasi,tidak ada,ada,f,Belum menikah,0
534,Strata I (S1),30,Psikologi,tidak ada,tidak ada,f,Belum menikah,0
535,Strata I (S1),33,Ilmu Hukum,tidak ada,tidak ada,f,Menikah,1
536,Strata I (S1),29,Pendidikan Matematika,tidak ada,tidak ada,f,Belum menikah,0
537,SMK / MAK / Sederajat,23,Sosial Ekonomi Pertanian,tidak ada,tidak ada,f,Belum menikah,0
538,SMK / MAK / Sederajat,26,Teknik Komputer,tidak ada,tidak ada,f,Menikah,1
539,SMK / MAK / Sederajat,25,Teknik Listrik Industri,tidak ada,tidak ada,f,Belum menikah,0
540,SMK / MAK / Sederajat,37,Teknik Otomotif,"{""Lain - Lain""}",tidak ada,f,Menikah,0
541,SLTA / MA / Sederajat,27,IPS,tidak ada,tidak ada,f,Menikah,1
542,Diploma IV,24,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
543,SMK / MAK / Sederajat,18,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
544,SMK / MAK / Sederajat,24,IPA,tidak ada,tidak ada,f,Belum menikah,0
545,Strata I (S1),32,Ekonomi Pembangunan,"{""Information Technology (IT)""}",ada,f,Menikah,0
546,Strata I (S1),27,Ilmu Administrasi Publik,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
547,Strata I (S1),37,Pendidikan Khusus,"{""Perbankan / Keuangan""}",ada,f,Menikah,1
548,Strata I (S1),29,Matematika,"{""TENAGA PROFESIONAL""}",tidak ada,f,Menikah,0
549,SLTA / MA / Sederajat,30,IPS,"{""Perbankan / Keuangan""}",tidak ada,f,Belum menikah,0
550,SLTP / MTs / Sederajat,32,Umum,tidak ada,tidak ada,f,Menikah,1
551,SMK / MAK / Sederajat,21,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
552,Strata I (S1),25,Ilmu Hukum,tidak ada,ada,f,Belum menikah,0
553,Strata I (S1),26,Sastra Jerman,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",ada,f,Belum menikah,0
554,SMK / MAK / Sederajat,26,Administrasi Perkantoran,"{""TENAGA PENGOLAHAN DAN KERAJINAN YANG BERHUBUNGAN DENGAN ITU""}",ada,f,Belum menikah,0
555,SMK / MAK / Sederajat,23,Desain Komunikasi Visual,tidak ada,tidak ada,f,Belum menikah,0
556,Strata I (S1),25,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
557,SMK / MAK / Sederajat,27,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,1
558,Strata I (S1),27,Ilmu Politik,tidak ada,tidak ada,f,Belum menikah,0
559,SLTA / MA / Sederajat,21,IPA,tidak ada,tidak ada,f,Belum menikah,0
560,SLTA / MA / Sederajat,25,IPA,tidak ada,tidak ada,f,Belum menikah,0
561,SMK / MAK / Sederajat,18,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
562,SLTA / MA / Sederajat,21,IPA,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
563,SLTA / MA / Sederajat,21,Bahasa dan Sastra Indonesia,tidak ada,tidak ada,f,Belum menikah,0
564,Strata I (S1),34,Ilmu Administrasi Negara,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Menikah,2
565,Strata I (S1),31,Akuntansi,{Kesehatan},ada,f,Belum menikah,0
566,Strata I (S1),33,Biologi,"{""Lain - Lain""}",tidak ada,f,Menikah,1
567,SMK / MAK / Sederajat,33,Teknik Informatika,tidak ada,tidak ada,f,Menikah,1
568,SLTA / MA / Sederajat,32,IPA,tidak ada,tidak ada,f,Belum menikah,0
569,Strata I (S1),30,Ilmu Administrasi Publik,tidak ada,tidak ada,f,Menikah,1
570,SLTA / MA / Sederajat,24,IPS,tidak ada,tidak ada,f,Belum menikah,0
